grid_id,obs_density,species_richness,migration_ratio
0_37,21,2,0.14285714285714285
0_38,2,1,0.5
0_39,22,1,0.5
0_40,4,1,0.5
0_41,1,1,1.0
10_22,6,2,0.8333333333333334
10_23,2,2,0.5
10_24,4,2,0.75
10_25,5,1,0.8
10_26,4,2,0.25
10_27,2,1,0.0
10_28,15,1,0.13333333333333333
10_29,34,1,0.11764705882352941
10_30,30,1,0.26666666666666666
10_31,1,1,1.0
10_33,12,1,0.5833333333333334
10_34,1,1,0.0
10_35,2,1,1.0
10_37,12,1,0.3333333333333333
10_38,3,1,0.0
10_41,2,1,0.0
10_42,2,1,0.5
10_44,1,1,1.0
10_46,1,1,1.0
10_47,1,1,0.0
10_5,1,1,1.0
10_50,1,1,0.0
10_51,80,1,0.0375
11_10,1,1,1.0
11_14,1,1,1.0
11_20,9,3,0.6666666666666666
11_21,150,3,0.47333333333333333
11_22,73,2,0.2191780821917808
11_23,2,1,0.0
11_25,3,1,0.6666666666666666
11_26,4,1,0.5
11_27,28,1,0.4642857142857143
11_28,91,1,0.3516483516483517
11_29,4,1,0.5
11_30,18,1,0.05555555555555555
11_31,17,1,0.5882352941176471
11_32,10,1,0.3
11_34,2,1,0.0
11_36,5,1,0.2
11_37,2,1,0.5
11_43,11,1,0.45454545454545453
11_44,3,1,0.3333333333333333
11_5,1,1,0.0
11_51,1,1,1.0
11_7,1,1,0.0
12_12,3,1,1.0
12_13,1,1,1.0
12_16,3,1,1.0
12_18,6,3,0.5
12_19,8,2,0.5
12_20,19,3,0.5789473684210527
12_21,32,2,0.53125
12_22,6,1,0.16666666666666666
12_23,1,1,0.0
12_25,6,1,0.16666666666666666
12_27,7,1,0.2857142857142857
12_28,24,1,0.5416666666666666
12_29,1,1,0.0
12_32,15,1,0.0
12_38,3,1,0.0
12_43,8,1,0.0
12_49,1,1,1.0
12_5,2,1,0.0
12_50,2,1,1.0
12_51,33,1,0.5151515151515151
12_6,1,1,0.0
12_64,1,1,0.0
12_66,1,1,1.0
12_67,9,1,0.6666666666666666
12_68,2,1,0.5
12_7,1,1,0.0
12_72,8,1,0.5
12_73,16,1,0.0
13_13,1,1,1.0
13_14,1,1,1.0
13_15,12,3,0.6666666666666666
13_16,11,2,0.5454545454545454
13_17,8,3,0.5
13_18,5,2,0.6
13_20,11,1,0.36363636363636365
13_21,19,2,0.5263157894736842
13_22,3,2,0.3333333333333333
13_24,1,1,1.0
13_27,54,1,0.48148148148148145
13_28,76,1,0.19736842105263158
13_43,6,1,0.6666666666666666
13_46,2,1,0.0
13_47,9,1,0.3333333333333333
13_48,1,1,1.0
13_50,9,1,0.5555555555555556
13_51,23,1,0.4782608695652174
13_66,5,1,0.4
13_67,118,1,0.5
13_68,19,1,0.0
13_73,2,1,0.5
14_13,138,2,0.34057971014492755
14_14,10,2,0.3
14_15,3,2,0.3333333333333333
14_16,20,1,0.35
14_17,3,1,0.6666666666666666
14_21,4,1,0.25
14_23,1,1,0.0
14_26,3,1,0.0
14_27,5,1,0.8
14_28,1,1,1.0
14_31,4,1,0.5
14_34,7,1,0.0
14_4,2,1,0.0
14_48,3,1,0.3333333333333333
14_49,1,1,0.0
14_50,22,1,0.6363636363636364
14_54,1,1,0.0
14_56,6,1,0.0
14_6,1,1,1.0
14_66,5,1,0.8
14_67,19,1,0.42105263157894735
14_9,1,1,1.0
15_11,10,2,0.3
15_12,50,2,0.44
15_13,49,2,0.6530612244897959
15_14,12,1,0.5
15_15,2,1,0.5
15_16,15,1,0.3333333333333333
15_17,5,1,0.6
15_19,2,1,0.5
15_28,1,1,0.0
15_31,2,1,0.0
15_33,3,1,0.0
15_34,54,1,0.46296296296296297
15_43,4,1,0.5
15_44,33,1,0.2727272727272727
15_48,4,1,0.25
15_50,1,1,1.0
15_60,1,1,0.0
15_65,2,1,0.0
15_66,2,1,1.0
15_68,1,1,1.0
15_7,2,1,0.5
15_8,2,1,1.0
16_10,21,4,0.38095238095238093
16_11,16,2,0.3125
16_12,30,1,0.1
16_13,20,1,0.45
16_14,7,1,0.2857142857142857
16_18,6,1,0.0
16_19,3,1,0.0
16_26,6,1,0.0
16_27,15,1,0.4666666666666667
16_28,2,1,0.0
16_33,3,1,1.0
16_34,6,1,0.3333333333333333
16_37,1,1,0.0
16_38,3,1,0.6666666666666666
16_43,4,1,0.0
16_44,8,1,0.5
16_45,2,1,0.0
16_46,3,1,0.6666666666666666
16_48,13,1,0.23076923076923078
16_54,1,1,0.0
16_55,4,1,0.75
16_58,2,1,0.5
16_59,2,1,0.0
16_61,1,1,0.0
16_63,2,1,1.0
16_67,7,1,0.8571428571428571
16_68,4,1,0.75
16_69,2,1,0.0
16_7,1,1,1.0
16_71,4,1,0.0
16_8,14,2,0.5714285714285714
16_9,23,3,0.6086956521739131
17_0,2,1,0.0
17_10,17,1,0.4117647058823529
17_11,20,1,0.5
17_12,42,1,0.16666666666666666
17_13,19,1,0.5263157894736842
17_14,54,2,0.3888888888888889
17_15,1,1,0.0
17_19,1,1,1.0
17_21,1,1,1.0
17_28,1,1,0.0
17_32,2,1,0.0
17_35,9,1,0.6666666666666666
17_45,1,1,1.0
17_46,44,1,0.4090909090909091
17_49,9,1,0.1111111111111111
17_50,2,1,1.0
17_52,6,1,0.16666666666666666
17_53,5,1,0.0
17_56,1,1,1.0
17_57,3,1,1.0
17_58,3,1,0.6666666666666666
17_59,1,1,0.0
17_6,175,4,0.42857142857142855
17_60,1,1,1.0
17_62,17,1,0.6470588235294118
17_63,1,1,0.0
17_68,2,1,1.0
17_7,72,3,0.5694444444444444
17_8,104,4,0.5096153846153846
17_9,87,1,0.26436781609195403
18_0,2,1,0.0
18_1,1,1,0.0
18_10,1,1,0.0
18_11,27,1,0.18518518518518517
18_12,77,1,0.4935064935064935
18_13,16,1,0.375
18_14,12,1,0.5
18_15,2,1,0.5
18_16,1,1,0.0
18_24,1,1,0.0
18_29,4,1,1.0
18_33,3,1,0.0
18_35,10,1,0.0
18_36,9,1,0.1111111111111111
18_4,1,1,1.0
18_5,25,3,0.2
18_52,195,1,0.4564102564102564
18_53,36,2,0.19444444444444445
18_54,4,1,1.0
18_57,1,1,0.0
18_58,28,1,0.35714285714285715
18_59,10,1,1.0
18_6,8,1,0.25
18_60,2,1,0.0
18_61,11,1,0.9090909090909091
18_63,12,1,0.75
18_65,3,1,0.3333333333333333
18_67,6,1,0.6666666666666666
18_68,5,1,0.0
18_69,2,2,1.0
18_7,14,1,0.07142857142857142
18_8,14,1,0.21428571428571427
18_9,70,2,0.35714285714285715
19_1,1,1,0.0
19_11,2,1,1.0
19_12,3,1,0.6666666666666666
19_14,20,1,0.25
19_15,125,1,0.328
19_16,37,1,0.10810810810810811
19_17,10,1,0.5
19_23,2,1,1.0
19_26,1,1,0.0
19_27,2,1,0.5
19_29,1,1,1.0
19_35,3,1,0.0
19_37,3,1,0.0
19_39,13,1,0.6153846153846154
19_4,32,2,0.84375
19_40,3,1,1.0
19_47,2,1,0.5
19_48,1,1,0.0
19_49,96,1,0.14583333333333334
19_5,6,1,0.5
19_50,3,1,0.3333333333333333
19_51,2,1,0.0
19_52,87,1,0.6551724137931034
19_53,42,1,0.2857142857142857
19_57,3,1,0.0
19_58,3,1,1.0
19_59,23,1,0.7391304347826086
19_6,11,1,0.2727272727272727
19_60,9,1,0.5555555555555556
19_62,13,1,0.8461538461538461
19_63,9,1,0.6666666666666666
19_64,1,1,1.0
19_66,32,1,0.4375
19_67,120,2,0.7
19_68,14,1,0.7857142857142857
19_69,5,1,0.8
19_7,10,1,0.4
19_8,16,1,0.0625
19_9,24,1,0.7916666666666666
1_36,1,1,0.0
1_37,7,3,0.42857142857142855
1_38,23,3,0.21739130434782608
1_39,8,1,0.375
1_40,57,2,0.14035087719298245
1_41,3,1,0.0
20_0,1,1,0.0
20_11,15,1,0.26666666666666666
20_12,14,1,0.0
20_13,15,1,0.13333333333333333
20_14,14,1,0.8571428571428571
20_15,176,1,0.2556818181818182
20_16,32,1,0.59375
20_18,1,1,0.0
20_25,8,1,0.125
20_26,5,1,0.0
20_28,1,1,0.0
20_34,1,1,0.0
20_36,1,1,1.0
20_37,1,1,0.0
20_38,6,1,0.5
20_39,2,1,0.0
20_4,7,2,0.0
20_40,1,1,0.0
20_45,1,1,1.0
20_47,1,1,1.0
20_48,9,2,0.7777777777777778
20_49,11,1,0.6363636363636364
20_5,5,1,0.2
20_50,1,1,0.0
20_52,14,1,0.42857142857142855
20_54,1,1,1.0
20_55,3,1,0.0
20_57,42,1,0.5
20_58,3,1,0.3333333333333333
20_6,1,1,0.0
20_60,2,1,0.0
