species_scientific_name,species_common_name,taxonomic_group,family,latitude,longitude,country,state_province,event_date,year,month,data_source,observation_type,occurrence_id,india_role,migration_season,location_type,seasonal_density,priority_group,iucn_red_list_status
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,12.758315,80.373937,India,Coastal India / Marine,2023-02-24T17:21:58,2023.0,2.0,GBIF,Scientific Record,5036905500,Regional Migrant,Winter (Peak),Terrestrial,Moderate,,DD
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,10.858728,72.210113,India,Coastal India / Marine,2003-02-24T16:05,2003.0,2.0,GBIF,Scientific Record,4076142344,Regional Migrant,Winter (Peak),Terrestrial,Moderate,,DD
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,15.0,90.0,India,Coastal India / Marine,,2024.0,1.0,GBIF,Scientific Record,90235174,Regional Migrant,Winter (Peak),Terrestrial,High,,DD
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,13.7375,80.265831,India,Coastal India / Marine,,2024.0,1.0,GBIF,Scientific Record,1699148819,Regional Migrant,Winter (Peak),Terrestrial,High,,DD
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,15.3556152003,73.7555950508,India,Coastal India / Marine,2022-10-14,2022.0,10.0,iNaturalist,Scientific Record,199444828,Regional Migrant,Autumn/Passage,Terrestrial,Moderate,,DD
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,10.8587276655,72.2101126622,India,Coastal India / Marine,2003-02-24,2003.0,2.0,iNaturalist,Scientific Record,152919110,Regional Migrant,Winter (Peak),Terrestrial,Moderate,,DD
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,14.0165770665,74.3480380252,India,Coastal India / Marine,2008-02-23,2008.0,2.0,iNaturalist,Scientific Record,65041194,Regional Migrant,Winter (Peak),Terrestrial,Moderate,,DD
Orcinus orca,Killer Whale,Mammalia,Checklist Verified,14.0135736959,74.3467200239,India,Coastal India / Marine,2008-02-23,2008.0,2.0,iNaturalist,Scientific Record,60796359,Regional Migrant,Winter (Peak),Terrestrial,Moderate,,DD
Balaenoptera physalus,Fin Whale,Mammalia,Checklist Verified,21.17,72.8,India,Coastal India / Marine,1971-08-13,1971.0,8.0,GBIF,Scientific Record,1317677122,Regional Migrant,Monsoon/Breeding,Terrestrial,Moderate,,LC/Not Evaluated
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,21.944213,88.898022,India,Coastal India / Marine,,2024.0,1.0,GBIF,Scientific Record,4407771469,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9820369,72.8066809997,India,Maharashtra (Coastal),2025-12-01,2025.0,12.0,iNaturalist,Scientific Record,329165352,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9832572454,72.806209065,India,Maharashtra (Coastal),2025-10-09,2025.0,10.0,iNaturalist,Scientific Record,320425803,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0550954217,72.8207148276,India,Maharashtra (Coastal),2025-05-01,2025.0,5.0,iNaturalist,Scientific Record,277315459,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.4284459861,72.7509655151,India,Maharashtra (Coastal),2025-04-29,2025.0,4.0,iNaturalist,Scientific Record,277077579,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.98265,72.8062533333,India,Maharashtra (Coastal),2025-04-28,2025.0,4.0,iNaturalist,Scientific Record,275353475,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.979455,72.807695,India,Maharashtra (Coastal),2025-03-31,2025.0,3.0,iNaturalist,Scientific Record,268028513,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9573789722,72.794961,India,Maharashtra (Coastal),2025-04-01,2025.0,4.0,iNaturalist,Scientific Record,268017400,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9821676,72.8065904997,India,Maharashtra (Coastal),2025-02-04,2025.0,2.0,iNaturalist,Scientific Record,260887738,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0742566667,72.8178916667,India,Maharashtra (Coastal),2025-01-30,2025.0,1.0,iNaturalist,Scientific Record,260263473,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0460327,72.8203445,India,Maharashtra (Coastal),2025-01-26,2025.0,1.0,iNaturalist,Scientific Record,259638404,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.8040881972,72.8701941,India,Maharashtra (Coastal),2024-09-19,2024.0,9.0,iNaturalist,Scientific Record,247422243,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,20.2517698415,72.7464615181,India,Coastal India / Marine,2024-02-12,2024.0,2.0,iNaturalist,Scientific Record,199980918,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,20.2518415588,72.7464574948,India,Coastal India / Marine,2024-02-12,2024.0,2.0,iNaturalist,Scientific Record,199980787,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
